Каша Кронидов гречневая со свининой 250 г.,150 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/kasha-grechnevaya-so-svininoi-250-g
Цыпленок Кронидов с рисом и овощн. соусом 250 г.,150 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/tcyplenok-s-risom-i-ovoshn-sousom-250-g
Говядина Кронидов с фасолью 250 г.,160 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/govyadina-s-fasolu-250-g
Говядина Кронидов со сладким перцем 250 г.,190 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/govyadina-so-sladkim-pertcem-250-g
Каша Кронидов рисовая со свининой 250 г.,150 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/kasha-risovaya-so-svininoi-250-g
Свинина Кронидов с фасолью 250 г.,150 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/svinina-s-fasolu-250-g
Свинина Кронидов со сладким перцем 250 г.,170 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/svinina-so-sladkim-pertcem-250-g
Буженина Кронидов в собственном соку 325 г.,285 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/buzhenina-v-sobstvennom-soku-250-g
Говядина Кронидов тушеная высший сорт 250 г.,340 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/govyadina-tushenaya-vysshii-sort-250-g
Макаронные изделия Кронидов с говядиной 250 г.,175 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/makaronnye-izdeliya-s-govyadinoi-250-g
Свинина Кронидов тушеная высший сорт 250 г.,220 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/svinina-tushenaya-vysshii-sort-250-g
Свинина Кронидов тушеная высший сорт 325 г.,265 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/svinina-tushenaya-vysshii-sort-325-g
Каша Кронидов перловая с говядиной 250 г.,175 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/kasha-perlovaya-s-govyadinoi-250-g
Говядина Кронидов Чили Кон-Карне с фасолью 250 г.,260 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/govyadina-chili-kon-karne-s-fasolu-250-g
Паста Кронидов Карбонара с сыром и беконом 250 г.,180 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/pasta-karbonara-s-syrom-i-bekonom-250-g
Картофель Кронидов с говядиной 300г.,195 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/kartofel-s-govyadinoi-300g
Каша Кронидов гречневая с говядиной 250 г.,175 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/kasha-grechnevaya-s-govyadinoi-250-g
Тяхан Кронидов с индейкой 300 г.,150 P,https://ekb.manaraga.ru/catalog/tur-snaryazhenya/sublimirovannye-produkty/tyahan-s-indeikoi-300-g
